"Year","State","Disease","Gender","Count","Population","Rate"
1988,"Alabama","Chancroid","Male",1,1928893,0.05
1990,"Alabama","Chancroid","Female",3,2109548,0.14
1990,"Alabama","Chancroid","Male",9,1940507,0.46
1993,"Alabama","Chancroid","Female",7,2190193,0.32
1993,"Alabama","Chancroid","Male",16,2024009,0.79
1994,"Alabama","Chancroid","Female",8,2212954,0.36
1994,"Alabama","Chancroid","Male",16,2047275,0.78
1995,"Alabama","Chancroid","Female",5,2230497,0.22
1995,"Alabama","Chancroid","Male",2,2066303,0.1
1997,"Alabama","Chancroid","Male",1,2103125,0.05
1998,"Alabama","Chancroid","Female",1,2281866,0.04
1999,"Alabama","Chancroid","Male",1,2136882,0.05
2000,"Alabama","Chancroid","Female",1,2303083,0.04
2010,"Alabama","Chancroid","Female",1,2459548,0.04
2012,"Alabama","Chancroid","Female",1,2483466,0.04
2013,"Alabama","Chancroid","Female",1,2488375,0.04
1984,"Arizona","Chancroid","Female",1,1554882,0.06
1984,"Arizona","Chancroid","Male",2,1512532,0.13
1985,"Arizona","Chancroid","Female",1,1613632,0.06
1986,"Arizona","Chancroid","Female",1,1675927,0.06
1986,"Arizona","Chancroid","Male",2,1632759,0.12
1987,"Arizona","Chancroid","Female",4,1740733,0.23
1987,"Arizona","Chancroid","Male",3,1696807,0.18
1988,"Arizona","Chancroid","Female",4,1790071,0.22
1988,"Arizona","Chancroid","Male",4,1745628,0.23
1989,"Arizona","Chancroid","Female",2,1833273,0.11
1989,"Arizona","Chancroid","Male",6,1788907,0.34
1990,"Arizona","Chancroid","Female",2,1863454,0.11
1991,"Arizona","Chancroid","Male",8,1873021,0.43
1992,"Arizona","Chancroid","Female",1,1978503,0.05
1993,"Arizona","Chancroid","Female",1,2052350,0.05
1993,"Arizona","Chancroid","Male",2,2013090,0.1
1994,"Arizona","Chancroid","Female",3,2140400,0.14
1995,"Arizona","Chancroid","Female",2,2231840,0.09
1996,"Arizona","Chancroid","Female",2,2306882,0.09
1998,"Arizona","Chancroid","Female",2,2450588,0.08
2003,"Arizona","Chancroid","Male",2,2791507,0.07
2004,"Arizona","Chancroid","Female",1,2870171,0.03
2004,"Arizona","Chancroid","Male",1,2873663,0.03
2005,"Arizona","Chancroid","Male",1,2973074,0.03
2011,"Arizona","Chancroid","Male",1,3223871,0.03
1987,"Arkansas","Chancroid","Female",1,1213335,0.08
1987,"Arkansas","Chancroid","Male",1,1129364,0.09
1988,"Arkansas","Chancroid","Male",2,1129347,0.18
1990,"Arkansas","Chancroid","Male",1,1136163,0.09
1995,"Arkansas","Chancroid","Female",1,1306773,0.08
1996,"Arkansas","Chancroid","Female",1,1323703,0.08
1997,"Arkansas","Chancroid","Male",1,1263936,0.08
1998,"Arkansas","Chancroid","Female",5,1348420,0.37
1998,"Arkansas","Chancroid","Male",2,1277869,0.16
1984,"California","Chancroid","Male",65,12839577,0.51
1985,"California","Chancroid","Male",40,13158632,0.3
1986,"California","Chancroid","Female",1,13597997,0.01
1986,"California","Chancroid","Male",45,13507583,0.33
1987,"California","Chancroid","Female",3,13918666,0.02
1987,"California","Chancroid","Male",135,13862213,0.97
1988,"California","Chancroid","Female",3,14246632,0.02
1988,"California","Chancroid","Male",8,14221742,0.06
1989,"California","Chancroid","Female",5,14604977,0.03
1989,"California","Chancroid","Male",43,14613323,0.29
1990,"California","Chancroid","Female",7,14958261,0.05
1990,"California","Chancroid","Male",47,15001254,0.31
1991,"California","Chancroid","Female",2,15219485,0.01
1991,"California","Chancroid","Male",23,15251251,0.15
1992,"California","Chancroid","Female",5,15475759,0.03
1992,"California","Chancroid","Male",32,15498900,0.21
1993,"California","Chancroid","Female",5,15635748,0.03
1993,"California","Chancroid","Male",58,15639180,0.37
1994,"California","Chancroid","Female",2,15754100,0.01
1994,"California","Chancroid","Male",12,15730335,0.08
1995,"California","Chancroid","Male",4,15828381,0.03
1996,"California","Chancroid","Male",6,15980592,0.04
1997,"California","Chancroid","Male",7,16204891,0.04
1998,"California","Chancroid","Male",7,16455412,0.04
1999,"California","Chancroid","Female",2,16800161,0.01
1999,"California","Chancroid","Male",4,16699043,0.02
2000,"California","Chancroid","Female",2,17063489,0.01
2000,"California","Chancroid","Male",1,16946886,0.01
2001,"California","Chancroid","Male",2,17249786,0.01
2002,"California","Chancroid","Male",2,17516452,0.01
2004,"California","Chancroid","Male",1,17913717,0.01
2005,"California","Chancroid","Female",1,18086694,0.01
2007,"California","Chancroid","Female",1,18275420,0.01
2008,"California","Chancroid","Female",1,18368644,0.01
2008,"California","Chancroid","Male",1,18388022,0.01
