"Year","Count","tot_pop","Rate"
1984,1063800,249609360,426.2
1985,1110698,251893725,440.9
1986,1125662,253946410,443.3
1987,1103092,252983262,436
1988,1159051,255251010,454.1
1989,1222831,261356014,467.9
1990,1346385,264401083,509.2
1991,1313302,268071531,489.9
1992,1183309,271682496,435.5
1993,1089935,275174072,396.1
1994,1066137,278371166,383
1995,1034196,281354857,367.6
1996,945782,284709969,332.2
1997,974349,288003699,338.3
1998,1060316,291343743,363.9
1999,1106594,294636875,375.6
2000,1148748,289906607,396.2
2001,1222515,292965133,417.3
2002,1266533,296142307,427.7
2003,1295523,298510010,434
2004,1342101,301408433,445.3
2005,1399315,304152677,460.1
2006,1481865,307065658,482.6
2007,1570115,309722225,506.9
2008,1663883,311900552,533.5
2009,1659564,314859151,527.1
2010,1732453,316137354,548
2011,1850466,318675686,580.7
2012,1883725,321155647,586.5
2013,1875531,323032768,580.6
2014,1948373,323345614,602.6
