Disease,Disease Code,State,State Code,Year,Year Code,Gender,Gender Code,Count,Population,Rate
Chancroid,273,Alabama,1,1988,1988,Male,M,1,1928893,0.05
Chancroid,273,Alabama,1,1990,1990,Female,F,3,2109548,0.14
Chancroid,273,Alabama,1,1990,1990,Male,M,9,1940507,0.46
Chancroid,273,Alabama,1,1993,1993,Female,F,7,2190193,0.32
Chancroid,273,Alabama,1,1993,1993,Male,M,16,2024009,0.79
Chancroid,273,Alabama,1,1994,1994,Female,F,8,2212954,0.36
Chancroid,273,Alabama,1,1994,1994,Male,M,16,2047275,0.78
Chancroid,273,Alabama,1,1995,1995,Female,F,5,2230497,0.22
Chancroid,273,Alabama,1,1995,1995,Male,M,2,2066303,0.1
Chancroid,273,Alabama,1,1997,1997,Male,M,1,2103125,0.05
Chancroid,273,Alabama,1,1998,1998,Female,F,1,2281866,0.04
Chancroid,273,Alabama,1,1999,1999,Male,M,1,2136882,0.05
Chancroid,273,Alabama,1,2000,2000,Female,F,1,2303083,0.04
Chancroid,273,Alabama,1,2010,2010,Female,F,1,2459548,0.04
Chancroid,273,Alabama,1,2012,2012,Female,F,1,2483466,0.04
Chancroid,273,Alabama,1,2013,2013,Female,F,1,2488375,0.04
Chancroid,273,Arizona,4,1984,1984,Female,F,1,1554882,0.06
Chancroid,273,Arizona,4,1984,1984,Male,M,2,1512532,0.13
Chancroid,273,Arizona,4,1985,1985,Female,F,1,1613632,0.06
Chancroid,273,Arizona,4,1986,1986,Female,F,1,1675927,0.06
Chancroid,273,Arizona,4,1986,1986,Male,M,2,1632759,0.12
Chancroid,273,Arizona,4,1987,1987,Female,F,4,1740733,0.23
Chancroid,273,Arizona,4,1987,1987,Male,M,3,1696807,0.18
Chancroid,273,Arizona,4,1988,1988,Female,F,4,1790071,0.22
Chancroid,273,Arizona,4,1988,1988,Male,M,4,1745628,0.23
Chancroid,273,Arizona,4,1989,1989,Female,F,2,1833273,0.11
Chancroid,273,Arizona,4,1989,1989,Male,M,6,1788907,0.34
Chancroid,273,Arizona,4,1990,1990,Female,F,2,1863454,0.11
Chancroid,273,Arizona,4,1991,1991,Male,M,8,1873021,0.43
Chancroid,273,Arizona,4,1992,1992,Female,F,1,1978503,0.05
Chancroid,273,Arizona,4,1993,1993,Female,F,1,2052350,0.05
Chancroid,273,Arizona,4,1993,1993,Male,M,2,2013090,0.1
Chancroid,273,Arizona,4,1994,1994,Female,F,3,2140400,0.14
Chancroid,273,Arizona,4,1995,1995,Female,F,2,2231840,0.09
Chancroid,273,Arizona,4,1996,1996,Female,F,2,2306882,0.09
Chancroid,273,Arizona,4,1998,1998,Female,F,2,2450588,0.08
Chancroid,273,Arizona,4,2003,2003,Male,M,2,2791507,0.07
Chancroid,273,Arizona,4,2004,2004,Female,F,1,2870171,0.03
Chancroid,273,Arizona,4,2004,2004,Male,M,1,2873663,0.03
Chancroid,273,Arizona,4,2005,2005,Male,M,1,2973074,0.03
Chancroid,273,Arizona,4,2011,2011,Male,M,1,3223871,0.03
Chancroid,273,Arkansas,5,1987,1987,Female,F,1,1213335,0.08
Chancroid,273,Arkansas,5,1987,1987,Male,M,1,1129364,0.09
Chancroid,273,Arkansas,5,1988,1988,Male,M,2,1129347,0.18
Chancroid,273,Arkansas,5,1990,1990,Male,M,1,1136163,0.09
