"Disease","State","Year","Gender","Rate"
"Chancroid","Alabama",1988,"Male",0.05
"Chancroid","Alabama",1990,"Female",0.14
"Chancroid","Alabama",1990,"Male",0.46
"Chancroid","Alabama",1993,"Female",0.32
"Chancroid","Alabama",1993,"Male",0.79
"Chancroid","Alabama",1994,"Female",0.36
"Chancroid","Alabama",1994,"Male",0.78
"Chancroid","Alabama",1995,"Female",0.22
"Chancroid","Alabama",1995,"Male",0.1
"Chancroid","Alabama",1997,"Male",0.05
"Chancroid","Alabama",1998,"Female",0.04
"Chancroid","Alabama",1999,"Male",0.05
"Chancroid","Alabama",2000,"Female",0.04
"Chancroid","Alabama",2010,"Female",0.04
"Chancroid","Alabama",2012,"Female",0.04
"Chancroid","Alabama",2013,"Female",0.04
"Chancroid","Arizona",1984,"Female",0.06
"Chancroid","Arizona",1984,"Male",0.13
"Chancroid","Arizona",1985,"Female",0.06
"Chancroid","Arizona",1986,"Female",0.06
"Chancroid","Arizona",1986,"Male",0.12
"Chancroid","Arizona",1987,"Female",0.23
"Chancroid","Arizona",1987,"Male",0.18
"Chancroid","Arizona",1988,"Female",0.22
"Chancroid","Arizona",1988,"Male",0.23
"Chancroid","Arizona",1989,"Female",0.11
"Chancroid","Arizona",1989,"Male",0.34
"Chancroid","Arizona",1990,"Female",0.11
"Chancroid","Arizona",1991,"Male",0.43
"Chancroid","Arizona",1992,"Female",0.05
"Chancroid","Arizona",1993,"Female",0.05
"Chancroid","Arizona",1993,"Male",0.1
"Chancroid","Arizona",1994,"Female",0.14
"Chancroid","Arizona",1995,"Female",0.09
"Chancroid","Arizona",1996,"Female",0.09
"Chancroid","Arizona",1998,"Female",0.08
"Chancroid","Arizona",2003,"Male",0.07
"Chancroid","Arizona",2004,"Female",0.03
"Chancroid","Arizona",2004,"Male",0.03
"Chancroid","Arizona",2005,"Male",0.03
"Chancroid","Arizona",2011,"Male",0.03
"Chancroid","Arkansas",1987,"Female",0.08
"Chancroid","Arkansas",1987,"Male",0.09
"Chancroid","Arkansas",1988,"Male",0.18
"Chancroid","Arkansas",1990,"Male",0.09
"Chancroid","Arkansas",1995,"Female",0.08
"Chancroid","Arkansas",1996,"Female",0.08
"Chancroid","Arkansas",1997,"Male",0.08
